line,match
"ул. Нежинская, 42, г. Одесса, 65023, Украина Email адрес:  office@welteco.com","Match(start=0, stop=28, fact=Addr(parts=[AddrPart(value='Нежинская', type='улица'), AddrPart(value='Одесса', type='город')]))"
"461040, Оренбургская область, г.Бузулук, 1-ый мкр-н, д.5 Б","Match(start=0, stop=58, fact=Addr(parts=[AddrPart(value='461040', type='индекс'), AddrPart(value='Оренбургская', type='область'), AddrPart(value='Бузулук', type='город'), AddrPart(value='5 Б', type='дом')]))"
"115093, г. Москва, ул. Большая Серпуховская, дом  44, офис № 19","Match(start=0, stop=63, fact=Addr(parts=[AddrPart(value='115093', type='индекс'), AddrPart(value='Москва', type='город'), AddrPart(value='Большая Серпуховская', type='улица'), AddrPart(value='44', type='дом'), AddrPart(value='№ 19', type='офис')]))"
"г. Москва, Варшавское шоссе, д.77, к. 2","Match(start=0, stop=33, fact=Addr(parts=[AddrPart(value='Москва', type='город'), AddrPart(value='Варшавское', type='шоссе'), AddrPart(value='77', type='дом')]))"
"Костанай ул. Карбышева, д. 36/1","Match(start=9, stop=31, fact=Addr(parts=[AddrPart(value='Карбышева', type='улица'), AddrPart(value='36/1', type='дом')]))"
"Адрес: 302005 г.Орел, ул. Спивака, д. 76","Match(start=7, stop=40, fact=Addr(parts=[AddrPart(value='302005', type='индекс'), AddrPart(value='Орел', type='город'), AddrPart(value='Спивака', type='улица'), AddrPart(value='76', type='дом')]))"
"Мы находимся по адресу: г. Санкт-Петербург, ул. Маршала Говорова д. 29 литер О (территория завода ""Волна"").","Match(start=24, stop=70, fact=Addr(parts=[AddrPart(value='Санкт-Петербург', type='город'), AddrPart(value='Маршала Говорова', type='улица'), AddrPart(value='29', type='дом')]))"
"190005, г. Санкт-Петербург, Троицкий пр., д.4, лит. В","Match(start=0, stop=45, fact=Addr(parts=[AddrPart(value='190005', type='индекс'), AddrPart(value='Санкт-Петербург', type='город'), AddrPart(value='Троицкий', type='проезд'), AddrPart(value='4', type='дом')]))"
"Челябинск, ул. Бр. Кашириных, д. 93А","Match(start=0, stop=36, fact=Addr(parts=[AddrPart(value='Челябинск', type=None), AddrPart(value='93А', type='дом')]))"
"в г. Пермь, ул. 2-я Красавинская, д.79, 614065","Match(start=2, stop=46, fact=Addr(parts=[AddrPart(value='Пермь', type='город'), AddrPart(value='2-я Красавинская', type='улица'), AddrPart(value='79', type='дом'), AddrPart(value='614065', type='индекс')]))"
"""249030, Калужская обл., г. Обнинск, ул. Победы 9а","Match(start=1, stop=47, fact=Addr(parts=[AddrPart(value='249030', type='индекс'), AddrPart(value='Калужская', type='область'), AddrPart(value='Обнинск', type='город'), AddrPart(value='Победы', type='улица')]))"
